level_0,patient1,patient2,patient3,patient4
MIR340,0,0,0,0
GFPT2,110,38,89,257
FLT4,26,0,216,60
SCGB3A1,2,0,728,3
OR2Y1,0,0,0,0
ZFP62,1741,1718,2521,2342
HEIH,1785,2299,2347,2578
LINC00847,943,1008,968,1013
MIR8089,0,0,0,0
BTNL3,0,2,0,0
OR2V2,0,0,0,0
OR2V1,0,0,0,0
SNORD96A,6,9,4,9
SNORD95,0,5,4,5
TRIM41,1425,2033,2064,2567
TRIM7,102,192,84,213
TRIM52,417,451,408,469
GNB2L1,26171,29841,32441,45457
MIR4638,0,0,0,0
TRIM52-AS1,402,693,519,451
LOC102577426,5,8,3,11
CTC-338M12.4,121,202,123,81
GGNBP1,0,2,1,2
CCND3,3323,3751,3529,3520
LINC00336,53,68,33,88
PGM3,3466,4221,3471,4731
PLEKHG1,114,127,348,265
BPHL,688,749,871,1087
GMDS,687,1250,755,2139
F13A1,63,51,37,83
LYRM4,763,769,787,925
CAGE1,7,9,0,0
LOC285768,2,0,2,0
RANBP9,3527,3972,4081,3943
KIF13A,7779,6929,8138,6299
CDKAL1,613,718,881,951
CASC15,18,17,20,72
C6orf106,7981,6778,8535,9275
DAAM2,23,59,44,88
FKBP5,3919,4486,5109,4856
DNAH8,0,4,1,0
LOC101929555,0,20,6,6
RAB44,4,1,0,2
RRP36,1383,1826,1773,2192
ENPP5,4296,6085,4507,7103
SUPT3H,300,335,363,493
DST,16671,17512,16499,23002
TRAM2,713,620,881,1414
KHDRBS2,24,4,5,8
EYS,267,248,488,308
KCNQ5,26,171,28,22
CD109,146,128,563,668
TTK,28,78,48,62
MYO6,7028,8934,7918,10183
PHIP,5604,5560,6942,6135
ANKRD6,1137,1323,1307,966
CEP162,401,483,444,644
MAP3K7,2743,3028,4037,3386
FUT9,130,342,131,105
KLHL32,271,439,370,326
AMD1,2979,4383,3895,5068
FIG4,1862,1858,1850,2368
MAN1A1,28213,33282,31111,27955
TRDN,2,6,4,0
NKAIN2,0,2,0,0
TBC1D32,336,431,498,461
SLC35F1,42,48,85,31
ARHGAP18,1511,3068,1630,2532
PDE7B,214,154,176,397
IL20RA,2512,2617,2569,2505
ALDH8A1,0,18,4,8
PERP,12478,19857,16049,20687
HECA,1785,1700,1974,1935
KATNA1,668,638,862,1041
SAMD5,5528,2278,3394,3466
AIG1,3348,3497,4529,3618
UTRN,2510,3450,3814,3855
ESR1,642,1347,1073,1166
ARID1B,4060,4117,4766,5437
SNX9,5670,6860,8645,7304
MAP3K4,1966,1638,2289,2877
IGF2R,14101,14582,17218,17630
PARK2,365,326,455,487
PACRG,258,237,277,325
WDR27,216,267,242,259
EXOC2,3529,3480,3849,4252
IRF4,6,6,2,10
NQO2,756,328,540,902
GMDS-AS1,124,192,148,204
SLC22A23,726,1289,470,1149
PRPF4B,3798,4062,4591,4666
CDYL,1122,1122,1440,1695
FARS2,250,412,401,640
RREB1,1964,2109,2620,2650
LY86-AS1,0,0,0,0
BMP6,34,15,20,63
SNRNP48,1333,1334,1766,1550
BLOC1S5-TXNDC5,0,0,0,0
LOC100506207,194,200,131,183
GCNT2,338,498,591,609
GCM2,1,0,0,0
NEDD9,799,737,1349,3132
ELOVL2,114,78,122,137
HIVEP1,1414,1386,1581,1669
GFOD1,270,177,206,176
PHACTR1,75,145,96,52
JARID2,1175,1263,1412,1250
DTNBP1,779,783,1070,1404
GMPR,357,622,266,614
ATXN1,1401,1131,1263,1852
NUP153,3146,3022,4207,3433
CAP2,152,436,256,336
KDM1B,1827,2481,2103,2252
LOC101928519,12,6,4,10
E2F3,548,616,526,649
MBOAT1,139,330,134,387
LINC00581,0,0,0,0
ALDH5A1,2242,1448,2516,1803
DCDC2,1661,2530,1700,4074
KIAA0319,2408,1263,2280,2891
FAM65B,86,67,50,81
LRRC16A,898,1280,1183,2119
SLC17A1,25,7,22,93
SCGN,31047,38560,53000,38341
GUSBP2,10,23,3,10
BTN2A1,1767,1592,1775,2261
LOC285819,2,3,1,0
ZNF165,297,464,312,688
ZNF311,18,75,20,53
HCG18,1596,2432,2033,1686
HCG17,17,6,9,36
ZNRD1-AS1,154,99,126,69
MDC1,2326,2393,2763,2954
ABCF1,3954,4256,4656,6320
BTNL2,0,0,0,0
EHMT2,2292,2029,2759,2769
MSH5,2,1,0,0
STK19,0,0,0,0
MSH5-SAPCD1,2,14,11,17
ZBTB9,586,569,861,939
HMGA1,1652,1976,1938,4010
GRM4,2129,2139,3137,2059
NUDT3,241,238,241,295
RPS10-NUDT3,0,0,0,0
PACSIN1,470,341,517,644
PPARD,897,1194,1051,1853
ANKS1A,1909,1960,2011,2737
SNRPC,1757,2148,2485,3236
ZNF76,2238,2149,2667,3008
SLC26A8,6,4,4,14
BRPF3,3630,3143,3983,4133
MAPK14,2335,2236,2858,3533
LHFPL5,43,26,35,54
SRSF3,6734,9011,9080,10621
KCTD20,4241,4404,5157,5599
RNF8,1585,1277,1652,1853
TMEM217,61,130,46,257
MDGA1,104,57,68,284
PPIL1,1040,1431,1079,1654
BTBD9,1656,1554,1783,2316
GLO1,5394,6378,6118,7299
ZFAND3,5542,5459,6670,6978
KCNK5,420,1174,266,1089
KIF6,29,72,32,37
LRFN2,472,912,956,586
TFEB,1073,1703,1655,1437
USP49,455,456,611,625
APOBEC2,1955,844,1039,1558
FOXP4,5656,6124,8800,7668
UBR2,3695,3467,3677,4317
C6orf132,181,524,235,739
TRERF1,657,770,812,745
XPO5,2333,2416,2978,3449
PTK7,4929,3421,6649,7169
MRPS18A,1112,1314,1112,2070
TTBK1,424,248,241,324
CLIC5,39,137,130,133
RUNX2,49,49,73,87
CYP39A1,243,190,148,159
MEP1A,2,27,7,3
TDRD6,91,107,101,147
RCAN2,6833,5932,10787,6044
CD2AP,5052,6047,5299,7304
PTCHD4,499,458,175,554
CRISP1,0,0,0,0
CRISP2,5,8,4,9
MUT,3586,5894,4559,6126
TFAP2D,0,0,0,0
PKHD1,310,638,293,734
EFHC1,864,1199,1096,1441
FBXO9,3590,5569,4609,5768
MLIP,541,180,569,849
LRRC1,1211,1882,1941,1837
MLIP-IT1,0,0,0,4
HMGCLL1,2998,2789,3238,3813
FAM83B,565,410,563,866
HCRTR2,1,0,2,0
COL21A1,9,0,10,2
BMP5,5537,3570,3638,6051
RNU6-71P,0,0,0,0
ZNF451,2910,2702,3746,3190
BEND6,278,209,334,119
LOC101927211,3,4,9,13
PRIM2,227,375,304,474
PHF3,5427,5350,8664,6847
BAI3,175,194,91,199
FAM135A,1825,1908,3162,3848
LMBRD1,8113,11302,10441,9666
COL19A1,0,8,3,0
SMAP1,2796,2797,3317,3947
RIMS1,11,52,23,18
SLC17A5,6811,6545,7766,7269
MTO1,1302,1812,1742,1643
LOC101928516,0,0,0,0
SENP6,4934,5724,7329,5962
COL12A1,898,336,538,1147
FILIP1,31,54,100,19
IMPG1,7,14,11,15
MEI4,226,224,355,142
LCA5,1098,880,1056,1024
SH3BGRL2,5581,5373,5412,4696
BCKDHB,1137,1448,1562,1570
UBE3D,289,314,357,323
ME1,2865,2191,2470,2161
SNAP91,3893,3090,4043,2699
TBX18,2,0,2,12
SNX14,5602,6088,6018,6897
ZNF292,4976,5318,6537,7554
HTR1E,0,2,2,0
LOC101928911,0,0,0,0
ORC3,1433,2014,2198,2233
SLC35A1,1313,1636,1658,1721
CNR1,34,42,71,147
GABRR1,2,9,15,4
RNGTT,1468,1693,1714,1570
UBE2J1,5619,6388,7281,6789
BACH2,225,249,211,555
CASP8AP2,1003,1162,1453,1308
MDN1,2406,2619,2598,3154
EPHA7,63,20,7,71
GPR63,138,124,173,112
UFL1,3640,4617,4556,4806
MIR548H3,0,0,0,0
MMS22L,261,312,310,499
LOC101927314,2,10,2,4
FBXL4,1679,1605,1627,1832
MCHR2,0,0,0,0
CCNC,3996,6160,5119,6605
FAXC,1201,1239,1445,959
ASCC3,4019,3893,4395,5306
GRIK2,538,366,576,565
HACE1,699,938,948,977
PREP,1389,1941,1628,2547
LIN28B,2,2,6,0
ATG5,2029,2582,2466,2871
QRSL1,993,1600,1621,1400
SOBP,1647,1134,2381,1349
PDSS2,1074,1587,1155,1614
LOC100422737,196,406,48,1134
SEC63,8475,9544,11345,9025
FOXO3,2028,2431,2910,3516
LACE1,186,240,287,233
SCML4,51,39,122,114
AK9,658,767,975,829
ARMC2,152,326,240,258
CEP57L1,214,272,270,313
LOC100996634,6,12,5,33
SESN1,4034,3039,4539,5760
SLC22A16,12,23,23,39
METTL24,73,74,71,55
CDK19,997,970,1046,1472
WASF1,1051,906,773,1064
FYN,2310,2158,2806,3194
REV3L,4611,4319,5962,4396
SLC16A10,66,336,139,136
GTF3C6,1269,1512,1453,2181
LAMA4,610,136,1359,792
LOC101927640,0,0,0,0
KPNA5,708,651,1249,862
NT5DC1,1767,2371,2610,2542
DSE,523,586,584,637
ROS1,2,12,2,4
DCBLD1,1161,1488,1507,1010
MCM9,649,803,854,875
CEP85L,588,499,658,555
FAM184A,621,392,910,583
LOC285762,0,0,0,0
GJA1,966,968,688,5125
PKIB,2774,3119,3572,3519
CLVS2,117,56,23,66
RNF217,237,326,388,403
TPD52L1,526,1196,557,1087
NCOA7,2189,2592,2295,5161
TRMT11,1034,1165,1464,1139
CENPW,54,89,35,112
ECHDC1,1744,2939,2567,3289
SOGA3,1624,1338,1311,960
THEMIS,0,6,0,4
PTPRK,3388,6363,3523,7842
LAMA2,335,94,187,380
L3MBTL3,376,374,291,403
SAMD3,631,1728,1057,1336
TMEM244,2,0,0,0
EPB41L2,1530,1822,2014,2573
AKAP7,610,1027,597,1569
ENPP3,8,8,14,8
MOXD1,20,32,64,89
EYA4,144,174,131,128
EYA4-AS1,5,6,2,6
SGK1,721,2032,1077,2782
SLC2A12,1109,1347,771,1252
MYB,0,7,15,12
AHI1,4466,2992,4183,3930
LINC00271,85,87,112,183
MAP7,4102,4443,5107,5680
MAP3K5,1056,1544,964,2127
PEX7,923,1620,1266,1326
IL22RA2,0,0,0,0
LOC100130476,86,142,200,225
LOC100507462,7,5,11,9
NHSL1,630,405,728,717
ECT2L,15,22,36,16
KIAA1244,20927,17083,26986,22328
TXLNB,52,38,0,24
LOC100132735,0,0,0,0
LOC100507477,3,3,2,0
VTA1,2655,3037,3291,3730
HIVEP2,3294,2963,3699,3755
GPR126,114,322,299,824
LOC153910,0,0,0,0
PLAGL1,2475,1778,7333,2769
PHACTR2,1953,2141,2330,2307
LTV1,1062,1440,1685,1653
PEX3,1043,1501,1273,1514
GRM1,331,355,413,505
LOC100507557,165,281,288,136
SHPRH,953,1052,1427,1108
EPM2A,629,694,890,806
STXBP5-AS1,786,673,629,544
STXBP5,7630,7744,8445,8948
ADGB,0,0,0,0
SASH1,777,631,783,1023
UST,65,384,72,208
TAB2,5027,5980,8306,6586
PCMT1,6601,7006,7338,6753
RAET1E-AS1,0,9,4,4
PPP1R14C,554,571,1146,926
RAET1E,0,0,4,2
AKAP12,7914,2084,5318,5445
CCDC170,2,17,73,14
MTHFD1L,916,859,1421,1359
C6orf211,1500,1569,2222,2177
SYNE1,4906,4099,4374,3916
RGS17,540,298,614,534
SCAF8,3358,4102,4517,4525
OPRM1,346,38,87,107
IPCEF1,35,48,32,59
CNKSR3,1131,1331,1501,1891
TIAM2,56,228,42,223
TFB1M,405,503,390,837
ZDHHC14,1292,964,1323,1479
SYTL3,57,360,127,209
SYNJ2,5317,4843,7425,6267
TMEM181,7303,9999,11471,10224
GTF2H5,1255,1971,1588,2225
TULP4,2331,1863,2979,2679
FNDC1,33,12,29,47
WTAP,3278,4058,4599,5045
LPA,0,6,0,3
SLC22A1,13,22,10,8
SLC22A3,19,14,35,144
AGPAT4,639,667,495,971
QKI,1342,1451,1873,2483
PDE10A,531,526,518,760
RPS6KA2,2543,2118,3019,2864
KIF25,0,0,0,0
MLLT4,6831,8358,8541,10203
SMOC2,3,0,10,8
FAM120B,2754,2920,3116,3198
LINC00266-3,2,0,0,0
DUSP22,810,1020,820,1679
HUS1B,6,12,6,2
LOC101927691,8,2,4,3
FOXF2,49,8,134,135
MIR6720,0,0,0,0
FOXQ1,497,252,415,332
FOXC1,90,356,118,206
C6orf195,0,4,0,0
MYLK4,82,72,158,81
MIR4645,1,0,0,0
WRNIP1,4515,4184,4665,5329
SERPINB9P1,0,4,0,2
SERPINB1,4559,8025,4610,9982
SERPINB6,4542,6497,4791,8454
LINC01011,175,271,319,258
SERPINB9,296,305,259,615
LOC101927730,0,1,0,0
HTATSF1P2,36,25,100,20
RIPK1,2132,1961,2437,2992
TUBB2B,800,577,1015,935
TUBB2A,825,701,948,2256
PSMG4,290,557,452,550
LOC100507194,2,7,2,4
PXDC1,449,1100,503,1409
FAM50B,824,921,917,1073
ECI2,1832,2289,1903,2664
FAM217A,4,17,2,2
C6orf201,63,66,48,62
LOC100507506,5,5,16,5
KU-MEL-3,0,0,16,2
PPP1R3G,4,8,8,12
RPP40,90,190,91,164
MIR3691,0,0,0,0
LOC101927950,0,0,0,0
NRN1,9,1,22,8
LY86,8,4,23,0
SSR1,14082,19257,16274,17225
RIOK1,865,969,1356,1233
DSP,39394,40403,71375,63174
TXNDC5,2,0,0,0
PIP5K1P1,8,6,26,7
BLOC1S5,0,0,0,0
EEF1E1,3,1,7,10
SCARNA27,2,2,0,0
EEF1E1-BLOC1S5,0,0,0,0
SLC35B3,1413,1672,1690,2031
HULC,9,2,0,0
LINC00518,2,2,1,4
TFAP2A,16,28,65,38
TFAP2A-AS1,0,2,0,0
MIR5689,0,0,0,0
PAK1IP1,748,1176,1151,1285
C6orf52,32,55,40,95
TMEM14C,3860,4441,4020,5205
TMEM14B,1579,2099,1828,2181
MAK,17,25,49,35
SYCP2L,25,14,29,25
ELOVL2-AS1,2,0,3,0
ERVFRD-1,0,2,10,0
SMIM13,1714,1247,2286,1564
TMEM170B,1538,1187,1878,1510
ADTRP,158,379,81,58
EDN1,181,461,96,849
RNU6-48P,0,0,0,0
LOC100130357,12,6,14,12
TBC1D7,424,407,399,627
SIRT5,851,750,700,1053
NOL7,1892,2272,2587,2876
MCUR1,2726,2436,2721,2532
RNF182,198,126,187,125
CD83,247,208,306,284
LINC01108,0,0,0,0
JARID2-AS1,8,6,0,2
MYLIP,1019,1260,1198,1252
MIR4639,2,8,3,5
STMND1,10,9,24,17
RBM24,59,54,100,38
LOC101928491,0,1,2,0
FAM8A1,3654,4748,4188,3807
TPMT,1694,2241,1629,2080
NHLRC1,233,346,310,312
DEK,5670,7171,7800,7340
RNF144B,272,391,190,488
MIR548A1,0,0,0,0
ID4,7168,3733,6132,6218
SOX4,4366,7944,3381,9216
CASC14,1,0,0,3
PRL,0,2,2,2
HDGFL1,0,0,0,0
NRSN1,172,148,164,130
KAAG1,8,16,19,21
MRS2,2034,2079,2868,2339
GPLD1,377,334,527,313
ACOT13,2637,3362,2471,3565
C6orf62,4964,6315,6757,8785
TDP2,4576,5019,6268,6222
GMNN,936,1829,724,1888
C6orf229,0,0,0,0
CMAHP,6,3,18,16
LOC101928663,1,1,2,2
HIST1H2AA,0,0,0,0
SLC17A4,123,347,135,202
HIST1H2APS1,0,0,0,0
HIST1H2BA,0,0,2,0
SLC17A3,2,4,3,0
SLC17A2,2,22,0,8
HIST1H4B,2,2,0,0
TRIM38,691,836,565,1198
HIST1H3C,0,0,0,0
HIST1H1C,299,4036,309,1594
HIST1H2AB,0,0,0,4
HIST1H4A,2,0,0,0
HIST1H1A,0,0,0,0
HIST1H3B,0,0,0,0
HIST1H2BB,0,0,0,0
HIST1H3A,6,9,2,12
HIST1H4E,7,6,4,14
HFE,165,227,167,531
HIST1H3D,12,7,0,9
HIST1H2BE,0,0,0,1
HIST1H1T,2,0,0,0
HIST1H2BD,661,782,323,592
HIST1H2BF,3,5,2,2
HIST1H2AC,335,502,178,377
HIST1H1E,16,26,6,15
HIST1H4C,2,0,1,2
HIST1H2BC,46,76,22,114
HIST1H4D,0,0,2,2
HIST1H2AD,0,0,0,0
HIST1H4G,0,0,0,0
HIST1H2BH,0,0,0,0
HIST1H3G,0,0,0,0
HIST1H3E,10,20,5,14
HIST1H2AE,10,26,27,85
HIST1H4H,8,30,13,15
HIST1H3F,0,0,0,0
HIST1H2BG,18,15,0,70
HIST1H2BI,0,0,0,0
HIST1H1D,0,0,0,0
HIST1H4F,0,0,0,0
BTN3A3,138,223,106,277
BTN3A2,385,509,283,1136
BTN3A1,383,578,418,1157
BTN2A2,202,318,161,372
BTN2A3P,0,25,8,5
HMGN4,2755,3012,2882,3991
BTN1A1,0,0,2,0
ABT1,1026,1294,1492,1561
HCG11,468,693,530,730
ZNF322,617,357,780,496
LINC00240,16,45,31,39
LOC100270746,87,99,106,208
MIR3143,0,0,0,0
HIST1H4I,2,0,1,1
HIST1H2AH,0,0,0,14
HIST1H2BK,477,610,429,919
HIST1H2BJ,12,9,2,14
HIST1H2AG,2,0,4,4
PRSS16,152,501,176,460
ZNF204P,2512,2488,2922,2254
VN1R10P,0,0,0,0
POM121L2,4,0,0,0
ZNF391,132,126,156,103
ZNF184,483,598,552,713
LOC100131289,0,0,0,0
HIST1H2AI,0,4,1,1
HIST1H2BM,0,0,0,0
HIST1H2BL,0,2,0,2
HIST1H3H,0,6,8,1
HIST1H2AJ,0,0,0,0
LINC01012,10,25,33,27
HIST1H4L,0,0,0,0
HIST1H3I,0,0,0,0
HIST1H4J,0,0,0,0
HIST1H2AM,0,0,0,0
HIST1H2AL,0,0,0,0
HIST1H2AK,22,5,6,8
HIST1H2BN,8,16,4,13
HIST1H3J,0,0,0,0
HIST1H1B,0,0,0,0
HIST1H2BO,0,0,0,0
OR2B2,0,0,0,0
HIST1H4K,2,1,0,0
OR2B6,0,0,0,0
ZKSCAN8,2750,2759,3421,2570
ZNF192P1,34,58,38,54
ZSCAN12P1,256,295,211,362
ZSCAN16-AS1,474,476,519,617
ZSCAN16,200,248,290,349
ZSCAN26,994,1018,1233,1086
ZKSCAN4,273,272,413,393
ZSCAN31,367,527,480,471
PGBD1,241,263,252,321
ZSCAN9,446,506,606,619
TOB2P1,16,36,46,50
NKAPL,114,150,104,90
ZSCAN12,962,1040,1048,939
ZKSCAN3,273,284,517,403
ZSCAN23,99,102,59,67
GPX6,0,0,0,0
ZBED9,499,502,464,590
GPX5,0,0,0,0
LOC401242,0,2,0,0
HCG14,6,5,0,3
TRIM27,2763,3050,2905,4137
C6orf100,0,0,0,0
OR2W1,0,0,0,0
LOC100129636,0,0,0,0
OR2B3,0,0,0,0
OR2J3,0,0,0,0
OR2J2,0,0,0,0
OR5V1,0,0,0,0
OR14J1,0,0,0,0
OR12D3,0,0,0,0
MAS1L,0,0,0,0
OR11A1,0,0,0,0
OR10C1,0,0,0,0
OR12D2,0,0,0,0
OR2H1,0,0,0,0
LINC01015,0,0,0,0
GABBR1,843,668,959,1263
UBD,2656,4609,1886,11611
OR2H2,0,0,0,0
SNORD32B,0,0,0,0
MOG,0,0,0,2
HLA-F,764,996,718,3371
IFITM4P,0,0,0,1
ZFP57,28,30,0,88
HLA-F-AS1,49,28,13,166
HLA-G,436,255,47,639
HCG4,56,178,84,220
LOC554223,9,15,2,7
HLA-H,1611,2799,1542,10976
HLA-A,49320,34820,48251,134488
HLA-J,427,125,85,324
HCG9,0,5,1,1
HCG8,52,127,75,88
HCG4B,30,35,57,14
RNF39,71,57,70,75
TRIM10,2,4,0,4
PPP1R11,2374,2818,2701,4120
ZNRD1,439,450,491,884
TRIM31,10,58,36,69
TRIM40,0,0,0,3
TRIM15,4,6,0,2
MIR6891,0,0,0,0
TRIM26,1834,1873,1831,2746
HLA-L,242,690,304,3291
TRIM39-RPP21,0,0,0,0
TRIM39,703,795,924,1025
RPP21,96,72,108,100
GNL1,3961,4148,5265,5268
HLA-E,13956,9039,19057,48736
PRR3,436,376,499,430
NRM,139,181,132,304
C6orf136,947,1023,1295,1319
PPP1R10,3753,4977,4733,4356
DHX16,2267,2507,2808,3454
PPP1R18,394,431,546,1357
MIR877,15,8,8,14
MRPS18B,2537,3733,3463,4262
ATAT1,431,408,380,481
FLOT1,8361,8602,9615,13156
TUBB,13083,15908,19525,54827
IER3,1603,1868,2192,8026
DDR1,26273,21580,25923,34266
VARS2,755,924,898,1492
DPCR1,0,2,0,1
GTF2H4,525,499,701,773
MIR4640,49,27,43,54
SFTA2,19,16,12,72
HCG22,0,0,0,0
MUC22,0,0,0,0
MUC21,8,0,39,17
POU5F1,3,18,6,32
PSORS1C2,1,3,0,4
CDSN,10,7,9,3
CCHCR1,433,650,517,824
PSORS1C3,6,6,0,3
HCG27,21,27,12,17
TCF19,129,237,194,227
C6orf15,0,0,0,0
PSORS1C1,2,9,7,2
HLA-C,26233,31161,23604,66006
HLA-B,25483,34290,13762,103328
MICA,103,295,92,541
HCG26,25,18,8,76
HCP5,393,582,264,1871
LTA,0,2,0,2
ATP6V1G2,88,106,94,44
NCR3,0,0,0,0
LTB,84,70,21,441
LST1,15,4,14,18
NFKBIL1,763,828,1139,1183
SNORD84,3,4,2,6
AIF1,61,20,126,61
DDX39B,1,2,0,9
SNORD117,0,0,0,0
ATP6V1G2-DDX39B,0,0,0,0
TNF,4,5,6,39
MICB,41,44,39,27
MCCD1,0,6,0,0
C6orf25,0,4,0,0
LY6G6C,0,0,4,0
BAG6,7928,9877,10597,12996
C6orf47,1595,1531,1883,2482
CSNK2B,2495,2684,2897,3627
LY6G6D,0,0,0,0
GPANK1,883,1027,1058,1329
CLIC1,6338,5814,6115,13771
SNORA38,0,0,0,1
LY6G5B,42,30,59,65
MIR4646,0,0,0,0
ABHD16A,3448,3575,3080,4810
DDAH2,1080,1516,996,2229
PRRC2A,10376,9943,12051,13951
LY6G5C,47,42,13,52
LY6G6E,0,0,0,0
APOM,22,79,53,64
MIR6832,2,3,5,4
LY6G6F,0,1,0,0
C6orf48,7268,8197,11520,7217
VWA7,1713,1551,1822,1993
SNORD52,12,10,9,11
VARS,3053,4099,2930,5258
HSPA1L,201,317,323,347
LSM2,809,1006,1218,1766
NEU1,9835,9634,9600,16404
HSPA1A,1845,2120,1519,3344
SLC44A4,1281,2126,1017,4077
SNORD48,9,5,11,5
SAPCD1,0,0,0,0
HSPA1B,2782,2906,4767,4781
C2,87,187,71,314
TNXB,0,0,0,2
SKIV2L,2316,2529,2312,3249
CFB,8755,23417,2433,38920
C4A+C4B+C4B_2,95,137,47,536
DXO,769,1507,666,822
CYP21A2,0,0,0,0
TNXA,0,0,0,0
NELFE,2144,2440,2734,3582
ZBTB12,185,165,256,210
MIR1236,0,0,0,0
CYP21A1P,0,0,0,0
LOC102060414,0,0,0,0
FKBPL,181,311,200,253
ATF6B,2271,2631,2526,2828
PPT2,183,224,188,323
AGER,49,43,44,85
EGFL8,0,0,0,0
PRRT1,209,153,115,150
NOTCH4,132,86,292,147
LOC100507547,46,64,49,89
AGPAT1,2620,3322,3167,3791
GPSM3,45,20,64,63
PBX2,1728,1594,2393,2557
MIR6833,4,15,11,8
RNF5P1,0,0,0,0
PPT2-EGFL8,5,5,14,19
RNF5,6,3,7,18
MIR6721,0,0,0,0
C6orf10,0,0,0,0
HCG23,0,0,1,0
HLA-DRB5,123,228,735,345
HLA-DRA,2066,999,1663,1745
HLA-DQB1,210,65,823,1242
HLA-DQA1,206,37,337,104
HLA-DRB1,925,547,1172,946
HLA-DRB6,48,61,1,83
HLA-DQB2,17,5,0,9
HLA-DQA2,23,8,0,33
PSMB8-AS1,93,61,71,327
TAP2,1015,980,992,1867
LOC100294145,920,1603,1031,1134
PSMB8,1238,1666,1071,4135
HLA-DOB,2,0,2,0
TAP1,1110,1135,643,2789
PSMB9,144,135,78,403
BRD2,14423,16975,17390,16635
HLA-DMB,333,319,429,362
HLA-DMA,306,415,285,588
HLA-DOA,232,86,73,144
HLA-DPB1,657,423,476,525
COL11A2,16,29,54,16
HLA-DPB2,0,0,0,0
HLA-DPA1,605,252,921,738
SLC39A7,10078,14375,10486,15327
RING1,2187,2364,2401,2895
DAXX,1818,1854,1862,2866
WDR46,1716,2248,1726,2570
HSD17B8,392,597,821,1013
VPS52,2003,2807,2722,3703
RGL2,1763,1997,2689,3049
PFDN6,1049,1483,1256,1771
ZBTB22,1889,1974,2436,2278
MIR6873,0,1,0,2
RXRB,2566,2647,3189,3717
HCG25,12,24,27,34
B3GALT4,611,533,588,853
RPS18,13881,22389,25020,38386
TAPBP,5523,6101,3894,12605
MIR219A1,1,3,0,1
MIR6834,53,42,48,75
SYNGAP1,1567,1426,2842,1903
CUTA,6808,6179,7375,8123
PHF1,3654,3257,4122,4087
MIR5004,3,3,14,10
KIFC1,54,117,67,120
BAK1,385,406,340,728
UQCC2,1714,2056,2034,2352
ITPR3,13501,18981,20692,28849
LEMD2,2488,2597,2756,3385
MLN,0,0,0,0
IP6K3,10,0,0,20
LINC01016,3,0,8,0
MIR7159,0,0,0,0
MIR1275,0,0,0,0
MIR6835,15,15,10,16
C6orf1,1891,1311,1738,2508
RPS10,80,87,71,95
SPDEF,4,7,19,14
UHRF1BP1,2676,2240,2589,2863
TAF11,1118,1299,1668,1859
TCP11,2,2,9,2
SCUBE3,2,7,7,10
DEF6,23,88,32,108
FANCE,163,137,182,233
MIR7111,44,14,37,38
TULP1,0,2,0,0
RPL10A,10250,13399,13732,19385
TEAD3,264,235,263,524
MIR5690,2,0,0,0
CLPSL2,2,11,0,6
CLPSL1,4,225,0,10
CLPS,1278,54404,1092,1366
ARMC12,7,0,10,14
LOC285847,3,5,2,2
SRPK1,2197,2121,1977,2921
MAPK13,7153,6875,7691,7923
PNPLA1,4,1,2,0
C6orf222,324,1711,180,1571
ETV7,44,67,39,224
PXT1,0,4,1,0
STK38,1401,1497,1344,2516
CDKN1A,9770,8350,5551,20992
MIR3925,0,0,0,0
PANDAR,66,83,79,132
CPNE5,2,27,17,8
C6orf89,8483,10350,11558,11477
PI16,0,12,2,8
MTCH1,11403,13210,12957,16718
FGD2,25,57,39,49
PIM1,564,864,536,888
TBC1D22B,945,1169,1190,1679
CMTR1,2544,3645,3561,3833
CCDC167,251,342,261,516
MIR4462,0,0,0,0
LOC100131047,0,0,0,0
GLP1R,5356,4301,5506,3967
SAYSD1,1184,1938,1369,1640
KCNK16,5510,6649,9626,9857
KCNK17,1458,544,958,1040
MOCS1,651,708,583,928
LINC00951,34,85,32,26
TDRG1,7,43,17,5
UNC5CL,1355,1238,1535,4031
TSPO2,2,6,11,32
TREML1,4,0,0,0
TREM2,11,10,7,12
OARD1,1490,2166,1973,2532
NFYA,2402,2162,2403,3256
ADCY10P1,79,87,51,120
TREML4,0,0,0,0
TREM1,4,7,13,117
TREML3P,2,3,1,8
TREML5P,0,0,0,0
TREML2,0,10,4,4
NCR2,0,0,0,0
LINC01276,0,0,0,0
MDFI,25,30,28,196
MIR4641,11,28,31,20
TOMM6,2586,3300,3060,4222
PGC,16,454,10,10
PRICKLE4,100,158,87,139
FRS3,317,242,339,380
BYSL,545,789,736,1008
MED20,1123,1216,1230,1556
TAF8,938,870,951,1071
GUCA1A,0,0,0,2
GUCA1B,47,45,74,50
MRPS10,1638,2439,2095,2621
ATP6V0CP3,1,11,2,5
TBCC,3137,2827,3962,3758
PRPH2,205,468,1007,131
GLTSCR1L,2798,3094,3624,2928
RPL7L1,1280,1420,1673,1623
C6orf226,254,362,315,398
PPP2R5D,1358,1450,1430,1990
PTCRA,0,0,2,0
CNPY3,2418,2701,2215,3892
KLHDC3,3339,3724,3915,4734
MEA1,1891,2114,2177,2928
PEX6,1585,1264,1300,1546
GNMT,17,54,16,34
CUL7,4798,4427,4164,6347
KLC4,1737,1661,1604,1972
MRPL2,831,1172,1005,1600
CUL9,1721,1943,2269,2609
DNPH1,1075,1569,1287,1984
SRF,1597,1372,1749,2577
